x,y,Umbilicaria_decussata cloglog values
-2149428.99057318,565434.123810298,0.4746236
-2649990.41394982,1466870.72188996,0.11833864
-2439541.85916477,1537641.39117453,0.5466396
-2457620.64051292,1593518.46531355,0.73175687
-2464291.43968807,1599107.48879386,0.81896585
-2465262.57705245,1599737.05971877,0.81896585
-2465962.32168873,1599836.41366826,0.81896585
-2465624.88991117,1601617.71226252,0.8454915
-2442689.87437761,1661115.64464722,0.62760097
-2285926.96358424,891934.716240996,0.7038931
-2261517.33407193,957284.440556591,0.78670305
-2290073.84320192,905614.335817293,0.6126921
-2276132.97823141,945929.629352642,0.71028
-2290888.66413929,918253.475245578,0.5886983
-2310889.20283209,918990.852538654,0.67415893
-2351078.45077617,970987.942074572,0.6124635
-2329929.03594441,1203410.74121387,0.50408345
-2428339.5132885,1154894.85972534,0.42057988
-2453029.60954493,1190328.37000344,0.33803836
-2466487.3166294,1196668.83529232,0.31847143
-2472232.97715722,1268576.36603645,0.35630384
-2504774.95848793,1216680.1906665,0.3514905
-2479578.93343066,1282627.73132274,0.2914771
-2503147.90462511,1305913.97899677,0.27950358
-2524400.3517855,1289211.20212553,0.1212328
-2513957.05275252,1324100.82548781,0.24976853
-2545951.55362985,1326444.50257719,0.21517928
-2428094.60530231,1555591.34174238,0.645159
-2604271.68776354,1465251.46901134,0.20282294
-2629291.85993771,1594350.95432252,0.23536141
-2623592.19618942,1610867.63855787,0.28539553
-2638160.29845032,1588728.30762292,0.07437777
-2628864.94687862,1607263.09928965,0.24570166
-2619468.66640445,1824174.00120961,0.22855648
-1900701.59319288,757149.674942628,0.70196813
-1870480.61401148,944192.221396098,0.70146465
-2149428.99057318,565434.123810298,0.4746236
-2441383.586008,1511557.8483439,0.5880487
-2426692.98647384,1536185.03094775,0.6429532
-2429739.20693984,1546836.91034594,0.62296796
-2451124.27523191,1525607.39458483,0.53111196
-2460259.19549089,1594594.44584788,0.797823
-2465262.57705245,1599737.05971877,0.81896585
-2442689.87437761,1661115.64464722,0.62760097
-2214972.26818934,930253.07422458,0.9661459
-2222360.74452202,935163.554313877,0.7394058
-2235182.3798632,938225.670425898,0.7541673
-2236835.16065593,958094.681301629,0.7503572
-2245507.80580756,943984.056104864,0.7297369
-2277068.01772189,902519.18509296,0.47699493
