x,y,Usnea_antarctica cloglog values
-2285926.96358424,891934.716240996,0.58408374
-2290888.66413929,918253.475245578,0.6300237
-2310889.20283209,918990.852538654,0.58450824
-2327110.48288228,931728.196652567,0.7589552
-2285173.99325334,1187653.05848885,0.4162755
-2382438.39586142,1220324.06178006,0.46494293
-2453029.60954493,1190328.37000344,0.5472053
-2386549.97885482,1365131.10639869,0.44076493
-2649990.41394982,1466870.72188996,0.5073991
-2651621.60590745,1466721.82541937,0.5073991
-1867162.7757872,774549.774820007,0.10107013
-1824322.31380591,915125.391132192,0.0032432817
-1874898.33411706,810304.624187902,0.048935384
-1880248.32863051,801642.102122726,0.038433768
-1900701.59319288,757149.674942628,0.15985575
-1838365.42598988,928862.415441118,0.0038167431
-1840544.78595043,991030.017111752,4.947859E-4
-1870480.61401148,944192.221396098,0.006357421
-1937013.62179646,974455.275376013,0.017624496
-1995129.70381721,1012707.27824026,0.03754762
-2084257.59572425,828606.940483649,0.27790323
-1994531.57004867,1032944.10395713,0.0113302255
-2003726.37293032,1016511.91102774,0.039526667
-2003730.89476826,1016540.14871756,0.039526667
-2016456.06281409,998315.328993404,0.049600676
-2006918.4862261,1018182.83420008,0.021709755
-1432436.10393814,532517.019414768,7.580425E-4
-2453029.60954493,1190328.37000344,0.5472053
-2466487.3166294,1196668.83529232,0.5009757
-2456913.79421353,1494367.98906464,0.3357763
-2437962.13598144,1533674.58662883,0.24681541
-2463275.46204187,1561563.11000754,0.51035285
-2465624.88991117,1601617.71226252,0.7293219
-2442689.87437761,1661115.64464722,0.6179104
-2196790.82032094,926671.079541102,0.33907443
-2197709.18972422,926991.605353908,0.3738855
-2205508.1238483,934771.498940679,0.42654413
-2214972.26818934,930253.07422458,0.6869314
-2216582.41594148,939327.353154662,0.34022912
-2235182.3798632,938225.670425898,0.3759416
-2245507.80580756,943984.056104864,0.39251053
-2211031.95821039,1029277.26192909,0.4337297
-2277068.01772189,902519.18509296,0.69048125
-2285926.96358424,891934.716240996,0.58408374
-2268927.17762605,939203.884285848,0.4614766
-2261517.33407193,957284.440556591,0.77020407
-2290073.84320192,905614.335817293,0.55431783
-2276132.97823141,945929.629352642,0.47449932
-2290888.66413929,918253.475245578,0.6300237
-2273352.98975803,964981.092507093,0.7372498
-2310889.20283209,918990.852538654,0.58450824
-2337873.14159047,1176819.68942824,0.5336409
-2453029.60954493,1190328.37000344,0.5472053
-2466487.3166294,1196668.83529232,0.5009757
-2484338.74382934,1247840.54179949,0.88884497
-2503551.0216109,1218525.47002202,0.6440998
-2473030.60893744,1341963.19326396,0.670647
-2524400.3517855,1289211.20212553,0.26737383
-2648491.47089057,1462863.16547308,0.44166583
-2640992.684782,1524937.63426868,0.29645252
-2629291.85993771,1594350.95432252,0.29682645
-2629604.83862387,1596939.55391197,0.48308387
-2638160.29845032,1588728.30762292,0.30953982
-2626369.49287429,1611430.00818627,0.5072303
-2629816.05657997,1618367.1846664,0.46191022
-2634217.69165432,1622475.83439706,0.5434043
-2619468.66640445,1824174.00120961,0.521178
-2149428.99057318,565434.123810298,0.29944703
-2649990.41394982,1466870.72188996,0.5073991
-2439541.85916477,1537641.39117453,0.30504584
-2457620.64051292,1593518.46531355,0.3260696
-2464291.43968807,1599107.48879386,0.57381415
-2465262.57705245,1599737.05971877,0.57381415
-2465962.32168873,1599836.41366826,0.57381415
-2465624.88991117,1601617.71226252,0.7293219
-2442689.87437761,1661115.64464722,0.6179104
-2285926.96358424,891934.716240996,0.58408374
-2261517.33407193,957284.440556591,0.77020407
-2290073.84320192,905614.335817293,0.55431783
-2276132.97823141,945929.629352642,0.47449932
-2290888.66413929,918253.475245578,0.6300237
-2310889.20283209,918990.852538654,0.58450824
-2351078.45077617,970987.942074572,0.606473
-2329929.03594441,1203410.74121387,0.4373972
-2428339.5132885,1154894.85972534,0.58869964
-2453029.60954493,1190328.37000344,0.5472053
-2466487.3166294,1196668.83529232,0.5009757
-2472232.97715722,1268576.36603645,0.8632257
-2504774.95848793,1216680.1906665,0.6440998
-2479578.93343066,1282627.73132274,0.8464916
-2503147.90462511,1305913.97899677,0.7433685
-2524400.3517855,1289211.20212553,0.26737383
-2513957.05275252,1324100.82548781,0.7008934
-2545951.55362985,1326444.50257719,0.717594
-2428094.60530231,1555591.34174238,0.12443535
-2604271.68776354,1465251.46901134,0.69389784
-2629291.85993771,1594350.95432252,0.29682645
-2623592.19618942,1610867.63855787,0.56141156
-2638160.29845032,1588728.30762292,0.30953982
-2628864.94687862,1607263.09928965,0.54947037
-2619468.66640445,1824174.00120961,0.521178
-1900701.59319288,757149.674942628,0.15985575
-1870480.61401148,944192.221396098,0.006357421
-2149428.99057318,565434.123810298,0.29944703
-2441383.586008,1511557.8483439,0.2082627
-2426692.98647384,1536185.03094775,0.1054893
-2429739.20693984,1546836.91034594,0.13144904
-2451124.27523191,1525607.39458483,0.29981023
-2460259.19549089,1594594.44584788,0.3296193
-2465262.57705245,1599737.05971877,0.57381415
-2442689.87437761,1661115.64464722,0.6179104
-2214972.26818934,930253.07422458,0.6869314
-2222360.74452202,935163.554313877,0.38191548
-2235182.3798632,938225.670425898,0.3759416
-2236835.16065593,958094.681301629,0.35722014
-2245507.80580756,943984.056104864,0.39251053
-2277068.01772189,902519.18509296,0.69048125
-2285926.96358424,891934.716240996,0.58408374
-2290073.84320192,905614.335817293,0.55431783
-2290888.66413929,918253.475245578,0.6300237
-2331141.05526458,1158202.88196822,0.5390237
-2337873.14159047,1176819.68942824,0.5336409
-2332226.42228327,1192441.67155438,0.5033559
-2453029.60954493,1190328.37000344,0.5472053
-2386549.97885482,1365131.10639869,0.44076493
-2386700.81436594,1365714.9990339,0.44076493
-2479578.93343066,1282627.73132274,0.8464916
-2450041.57912444,1515150.24859411,0.28135258
-2428094.60530231,1555591.34174238,0.12443535
-2604271.68776354,1465251.46901134,0.69389784
-2603496.23730889,1468791.26578778,0.7616756
-2629291.85993771,1594350.95432252,0.29682645
-1843636.30888502,735275.223204422,0.19235128
-1849856.55777235,734278.030476415,0.09681572
-1900701.59319288,757149.674942628,0.15985575
-1840544.78595043,991030.017111752,4.947859E-4
-1867103.35669391,940317.971430153,0.0065234937
-1868457.18671558,939526.871053886,0.0070171086
-1961486.46508661,731215.048718033,0.20300412
-1952193.54336681,772159.646010498,0.16537179
-1972895.08487135,734268.954377713,0.17248628
-1984548.20569251,734594.191365371,0.24594454
-1950250.62663821,958522.118851677,0.02594833
-2048265.22535679,775963.496306165,0.33905065
-2094296.77562739,719905.205748401,0.4101794
-2127540.84042362,706977.399465735,0.47509333
-2003730.89476826,1016540.14871756,0.039526667
-2006918.4862261,1018182.83420008,0.021709755
-1440614.72697308,526282.246945053,0.0010062046
-1442897.62846964,547969.9555353,6.335025E-4
-1519355.57878751,474706.796747827,0.0056547495
-1572032.91421327,523327.911261167,0.009970044
-2290073.84320192,905614.335817293,0.55431783
-2629291.85993771,1594350.95432252,0.29682645
-2623592.19618942,1610867.63855787,0.56141156
-2638160.29845032,1588728.30762292,0.30953982
-2149428.99057318,565434.123810298,0.29944703
-2635923.7667323,1588071.11204761,0.31899446
-2649990.41394982,1466870.72188996,0.5073991
