x,y,Acarospora_gwynnii cloglog values
-2470465.24923105,1341635.69563301,0.107385606
-2502744.1847028,1294529.73191326,0.14915207
-2524400.3517855,1289211.20212553,0.16353704
-2513957.05275252,1324100.82548781,0.11200476
-2500032.15726159,1389567.25276843,0.09769713
-2428094.60530231,1555591.34174238,0.28998718
-2452603.47920882,1597397.82862471,0.04423074
-2601754.79761239,1467210.25300012,0.021912279
-2601498.68148936,1467664.32252641,0.019572172
-2604271.68776354,1465251.46901134,0.021912279
-2603496.23730889,1468791.26578778,0.026811576
-2603530.43022203,1472226.33313733,0.03395691
-2609261.00927066,1470243.0187208,0.04606976
-2612943.12457828,1466297.30537869,0.023263758
-2637142.22053082,1485074.72094761,0.045999087
-2637257.78256766,1486018.38973212,0.04487714
-2629291.85993771,1594350.95432252,0.008575621
-2638160.29845032,1588728.30762292,0.013334746
-1947951.1345343,768103.935955436,0.4073236
-1952193.54336681,772159.646010498,0.32106397
-1952065.5519824,772877.427039015,0.32106397
-2006918.4862261,1018182.83420008,0.62596256
-2437962.13598144,1533674.58662883,0.24291687
-2503551.0216109,1218525.47002202,0.027973212
-2651421.07832981,1461882.42450565,0.011684829
-2629291.85993771,1594350.95432252,0.008575621
-2628864.94687862,1607263.09928965,0.024489276
-1953398.84069274,774227.707190746,0.32106397
-2149428.99057318,565434.123810298,0.15478586
-1523323.89513088,566519.683654194,0.93055534
-2638160.29845032,1588728.30762292,0.013334746
-2649990.41394982,1466870.72188996,0.01593421
-2635923.7667323,1588071.11204761,0.013604372
-2445421.3658215,1457127.45448814,0.30370098
-2443122.76353586,1536655.01720342,0.24889545
-2457620.64051292,1593518.46531355,0.194438
-2458972.03111232,1592607.32894605,0.1787689
-2460259.19549089,1594594.44584788,0.1831241
-2466554.81248622,1590975.0322166,0.17736325
-2464291.43968807,1599107.48879386,0.13730694
-2465262.57705245,1599737.05971877,0.13730694
-2464815.50827519,1601390.4870103,0.048610423
-2465962.32168873,1599836.41366826,0.13730694
-2465624.88991117,1601617.71226252,0.048610423
-2442689.87437761,1661115.64464722,0.045309935
-2220214.45856151,940556.623124875,0.24834701
-2285926.96358424,891934.716240996,0.16689204
-2290888.66413929,918253.475245578,0.08918529
-2310889.20283209,918990.852538654,0.15788107
-2327110.48288228,931728.196652567,0.26199716
